Country,Year,New businesses registered (number),"Air transport, passengers carried","Portfolio investment, bonds (PPG + PNG) (NFL, current US$)","Listed domestic companies, total","International tourism, receipts (current US$)","Next Year International tourism, receipts (current US$)","Next Year International tourism, receipts (current US$) category"
Syrian Arab Republic,2016,,18117.0,0.0,,,,red
Tajikistan,2016,984.0,1037897.0,0.0,,149600000.0,171600000.0,green
Tanzania,2016,,1179664.0,0.0,,2157000000.0,2284000000.0,green
Thailand,2016,48907.0,62341676.0,250000000.0,656.0,52465000000.0,62158000000.0,green
Timor-Leste,2016,,,0.0,,58000000.0,73000000.0,green
Togo,2016,,475185.0,0.0,,223000000.0,,red
Tonga,2016,49.0,,0.0,,52700000.0,48500000.0,red
Trinidad and Tobago,2016,,2598521.0,,,708000000.0,739000000.0,green
Tunisia,2016,,3606247.0,500000000.0,79.0,1706000000.0,1782000000.0,green
Turkey,2016,62674.0,100366461.0,4306962000.0,380.0,26788000000.0,31870000000.0,green
Turkmenistan,2016,,1318350.0,0.0,,,,red
Turks and Caicos Islands,2016,,,,,721000000.0,,red
Tuvalu,2016,,,,,,,red
Uganda,2016,,52187.0,0.0,,1069000000.0,940000000.0,red
Ukraine,2016,48138.0,5756509.0,540897000.0,121.0,1723000000.0,1999000000.0,green
United Kingdom,2016,663616.0,143781714.0,,,61894000000.0,51474000000.0,red
United States,2016,,824039000.0,,4331.0,246172000000.0,251361000000.0,green
Uruguay,2016,4571.0,,,,2182000000.0,2666000000.0,green
Uzbekistan,2016,21395.0,2383631.0,0.0,,,,red
Vanuatu,2016,245.0,299315.0,0.0,,,,red
"Venezuela, RB",2016,,6025475.0,-1845057000.0,,546000000.0,,red
Vietnam,2016,,37349272.0,-410846000.0,696.0,8500000000.0,8890000000.0,green
Virgin Islands (U.S.),2016,,,,,1343000000.0,,red
West Bank and Gaza,2016,,,,48.0,235000000.0,225000000.0,red
"Yemen, Rep.",2016,,242723.0,0.0,,116000000.0,,red
Zambia,2016,9534.0,144060.0,0.0,,683000000.0,653000000.0,red
Zimbabwe,2016,,378803.0,0.0,,194000000.0,158000000.0,red
