trade_date,td_year,td_month,td_day,td_weekday,td_week_number,td_year_week,open,high,low,close,volume,adj_close,return,short_ma,long_ma,label
2014-04-15,2014,4,15,Tuesday,15,2014-15,526.43,549.05,496.08,536.95,4192651,536.95,0.01998366354501102,457.5750000000002,540.0461999999998,
2014-04-16,2014,4,16,Wednesday,15,2014-15,536.95,537.03,486.89,502.0,4097576,502.0,-0.06508985939100487,462.267142857143,538.2233999999999,
2014-04-17,2014,4,17,Thursday,15,2014-15,502.0,512.15,472.0,485.52,4112826,485.52,-0.03282868525896421,465.207142857143,536.0039999999998,
2014-04-18,2014,4,18,Friday,15,2014-15,485.52,516.89,473.16,506.02,4154929,506.02,0.042222771461525754,468.7350000000001,534.6455999999998,
2014-04-19,2014,4,19,Saturday,15,2014-15,506.02,522.22,488.69,498.51,3879198,498.51,-0.014841310620133608,471.7935714285716,533.4679999999998,
2014-04-20,2014,4,20,Sunday,16,2014-16,498.51,524.67,490.66,495.16,3688692,495.16,-0.006720025676515973,474.13500000000016,532.4799999999998,
2014-04-21,2014,4,21,Monday,16,2014-16,495.16,520.51,483.39,487.91,2824567,487.91,-0.014641731965425286,475.66000000000014,528.9945999999998,
2014-04-22,2014,4,22,Tuesday,16,2014-16,487.91,509.96,482.25,487.3,2340457,487.3,-0.0012502305753110399,477.8000000000001,525.5035999999998,
2014-04-23,2014,4,23,Wednesday,16,2014-16,487.3,507.33,477.22,500.29,2075376,500.29,0.026657090088241242,486.0614285714287,522.3433999999999,
2014-04-24,2014,4,24,Thursday,16,2014-16,500.29,502.49,438.33,464.49,3000226,464.49,-0.07155849607227804,488.1578571428572,518.6679999999999,
2014-04-25,2014,4,25,Friday,16,2014-16,464.49,468.68,448.57,457.87,3157540,457.87,-0.014252190574608692,489.60214285714295,515.4907999999999,
2014-04-26,2014,4,26,Saturday,16,2014-16,457.87,461.4,437.39,443.18,3154922,443.18,-0.0320833424334418,490.7150000000001,512.1701999999999,
2014-04-27,2014,4,27,Sunday,17,2014-17,443.18,451.12,420.78,441.92,2004954,441.92,-0.002843088587030085,488.1107142857144,508.4675999999999,
2014-04-28,2014,4,28,Monday,17,2014-17,441.92,453.78,430.71,446.12,1670352,446.12,0.00950398262128882,482.37428571428575,505.13059999999984,
2014-04-29,2014,4,29,Tuesday,17,2014-17,446.12,452.64,430.89,445.63,1831533,445.63,-0.0010983591858693131,475.85142857142864,501.86939999999987,
2014-04-30,2014,4,30,Wednesday,17,2014-17,445.63,464.49,444.51,460.13,1915772,460.13,0.03253820433992316,472.8607142857144,498.6833999999999,
2014-05-01,2014,5,1,Thursday,17,2014-17,460.13,463.38,442.0,453.67,1532239,453.67,-0.014039510573098823,470.58571428571435,495.25599999999986,
2014-05-02,2014,5,2,Friday,17,2014-17,453.67,454.2,429.09,438.65,1143291,438.65,-0.03310776555646178,465.7735714285714,491.7483999999999,
2014-05-03,2014,5,3,Saturday,17,2014-17,438.65,446.61,428.79,436.05,1470650,436.05,-0.005927276872221499,461.3121428571429,487.9887999999999,
2014-05-04,2014,5,4,Sunday,18,2014-18,436.05,443.86,426.37,430.87,1328247,430.87,-0.011879371631693614,456.71999999999997,484.2233999999999,
2014-05-05,2014,5,5,Monday,18,2014-18,430.87,434.95,420.23,432.19,1809731,432.19,0.0030635690579525754,452.73999999999995,480.7395999999998,
2014-05-06,2014,5,6,Tuesday,18,2014-18,432.19,458.78,423.55,446.55,2209759,446.55,0.03322612739767239,449.8292857142857,477.69199999999984,
2014-05-07,2014,5,7,Wednesday,18,2014-18,446.55,455.5,439.5,441.11,1134338,441.11,-0.012182286418094268,445.60214285714284,474.61499999999984,
2014-05-08,2014,5,8,Thursday,18,2014-18,441.11,455.78,438.5,445.45,1013830,445.45,0.009838815714900973,444.2421428571428,472.20419999999984,
2014-05-09,2014,5,9,Friday,18,2014-18,445.45,459.46,441.43,451.9,210112,451.9,0.014479739589179363,443.81571428571425,470.2501999999999,
2014-05-10,2014,5,10,Saturday,18,2014-18,451.9,455.4,429.02,433.23,845213,433.23,-0.04131445009957946,443.10499999999996,467.6279999999999,
2014-05-11,2014,5,11,Sunday,19,2014-19,433.23,441.07,430.19,438.21,610287,438.21,0.01149504881933372,442.84,465.36899999999986,
2014-05-12,2014,5,12,Monday,19,2014-19,438.21,442.27,432.74,433.92,1164049,433.92,-0.009789826795371992,441.9685714285714,462.6961999999998,
2014-05-13,2014,5,13,Tuesday,19,2014-19,433.92,444.28,433.88,442.63,978031,442.63,0.020072824483775786,441.7542857142857,460.2909999999998,
2014-05-14,2014,5,14,Wednesday,19,2014-19,442.63,450.03,441.47,448.1,989003,448.1,0.012357951336330553,440.895,458.0039999999998,
